medium skin tone;0x1F476
medium-light skin tone;0x1F46E
meeting;0x1F91D
men;0x1F93C
meridians;0x1F310
mermaid;0x1F9DC
merman;0x1F9DC
merwoman;0x1F9DC
message;0x1F48C
meteor;0x1F320
metro;0x1F683
metropolis;0x1F306
mexican;0x1F32E
mic;0x1F3A4
microphone;0x1F3A4
midfingercurse;0x1F595
might;0x1F4AA
mild;0x1F366
military;0x1F396
milk;0x1F37C
minidisk;0x1F4BD
mining;0x26CF
minus;0x2796
missive;0x1F48C
mobile;0x1F4F2
mode;0x1F4F3
model;0x1F459
mold;0x1F459
molusc;0x1F991
money;0x1F4B0
moneybag;0x1F4B0
monkey;0x1F435
monster;0x1F479
monstrosity;0x1F479
monthly amount;0x1F237
moon;0x1F31B
morning;0x2600
mother;0x1F469
motion;0x1F596
motor;0x1F6F5
motorboat;0x1F6E5
motorcycle;0x1F3CD
mountain;0x1F5FB
mouse;0x1F401
mouth;0x1F911
movie;0x1F3AC
moyai;0x1F5FF
Mrs.;0x1F936
mug;0x1F37A
multiplication;0x2716
multiply;0x2716
multitask;0x1F939
munch;0x1F631
muscle;0x1F4AA
muse;0x1F914
museum;0x1F3A8
mushroom;0x1F344
music;0x1F3B5
Muslim;0x262A
mute;0x1F636
mutton;0x1F411
nail;0x1F485
name;0x1F4F2
national;0x1F3E0
naughty;0x1F61C
nauseated;0x1F922
neck;0x1F9E3
necklace;0x1F4FF
needle;0x1F489
nerd;0x1F913
nervous;0x1F493
net;0x1F945
network;0x1F578
neutral;0x1F610
new;0x1F195
news;0x1F4F0
newspaper;0x1F5DE
next scene;0x23ED
next track;0x23ED
ng;0x1F196
nib;0x2712
nictate;0x1F609
nictation;0x1F609
night;0x1F309
nightfall;0x1F307
nine;0x1F564
no;0x1F645
no vacancy;0x1F235
non-drinking;0x1F6B1
non-potable;0x1F6B1
noodle;0x1F35C
north;0x2B06
northeast;0x2197
northwest;0x2196
nose;0x1F443
nosegay;0x1F490
not;0x1F6AB
not free of charge;0x1F236
note;0x1F4B4
notebook;0x1F4D6
notes;0x1F3B6
notice;0x1F4B4
nozzle;0x1F6BF
nub;0x2764
numbers;0x1F522
nurse;0x1F468
nut;0x1F95C
o;0x1F17E
o¡¯clock;0x1F550
obeisance;0x1F64F
Oberon;0x1F9DA
obscure;0x2601
observe;0x231A
obstruct;0x2B1C
ocean;0x1F30A
octagonal;0x1F6D1
octopus;0x1F419
off;0x1F4F4
office;0x1F3E2
officer;0x1F46E
ogre;0x1F479
oh;0x1F640
oil;0x1F6E2
OK;0x1F44C
